Harness,Result,ElapsedSec,PeakMemMB,Flags
remaining_length_vulnerable,FAILED,2.9,97.3,"--unwind 8 --no-unwinding-assertions --unsigned-overflow-check"
connect_memleak_vulnerable,FAILED,2.76,166.6,"--unwind 16 --no-unwinding-assertions --memory-leak-check"
read_binary_obo_vulnerable,FAILED,1.12,104.1,"--unwind 8 --no-unwinding-assertions"
acl_bypass_vulnerable,FAILED,389.34,2219,"--unwind 32 --no-unwinding-assertions"
acl_bypass_fixed,SUCCESSFUL,120.35,1996.2,"--unwind 32 --no-unwinding-assertions"
will_properties_vulnerable,FAILED,3.94,98.3,"--unwind 8 --no-unwinding-assertions --memory-leak-check"
will_properties_fixed,SUCCESSFUL,2.18,99.2,"--unwind 8 --no-unwinding-assertions --memory-leak-check"
initial_packet_vulnerable,FAILED,2.22,94.9,"--unwind 4"
initial_packet_fixed,SUCCESSFUL,3.63,94.4,"--unwind 4"
qos2_dup_vulnerable,FAILED,5.37,119.7,"--unwind 8 --no-unwinding-assertions --memory-leak-check"
qos2_dup_fixed,SUCCESSFUL,20.62,134.5,"--unwind 8 --no-unwinding-assertions"
bridge_remap_vulnerable,FAILED,4.15,107.5,"--unwind 16 --no-unwinding-assertions --memory-leak-check"
bridge_remap_fixed,SUCCESSFUL,2.67,107.7,"--unwind 16 --no-unwinding-assertions --memory-leak-check"
varint_properties,SUCCESSFUL,3.79,98.9,"--unwind 8 --no-unwinding-assertions"
max_packet_size_properties,SUCCESSFUL,2.18,98.7,"--unwind 8 --no-unwinding-assertions"
packet_recv_remaining_length_vulnerable,FAILED,2.39,100.2,"--unwind 8 --no-unwinding-assertions --unsigned-overflow-check"
packet_recv_remaining_length_fixed,SUCCESSFUL,4.28,99.4,"--unwind 8 --no-unwinding-assertions"
packet_recv_initial_command_vulnerable,FAILED,2.2,98.9,"--unwind 4 --no-unwinding-assertions"
packet_recv_initial_command_fixed,SUCCESSFUL,2.22,98.2,"--unwind 4 --no-unwinding-assertions"
proxy_v2_tlv_vulnerable,FAILED,3.71,95.2,"--unsigned-overflow-check"
proxy_v2_tlv_fixed,SUCCESSFUL,2.17,95.5,"--unsigned-overflow-check"
